Chapter,category,English,French,Spanish,Chinese,definition,example,Wikipedia link
11 Basic Logic,basic logic,Logical Equivalence,Équivalence logique,Equivalencia lógica,逻辑等价 (Luójí děngjià),Two statements that have the same truth value.,"It is not raining is logically equivalent to ""The sun is shining""",https://en.wikipedia.org/wiki/Logical_equivalence
11 Basic Logic,basic logic,Negation,Négation,Negación,否定 (Fǒudìng),The opposite of a statement.,"The negation of ""It is raining"" is ""It is not raining""",https://en.wikipedia.org/wiki/Negation
11 Basic Logic,basic logic,Predicate,Prédicat,Predicado,谓词 (Wèicí),A statement that contains a subject and a claim about the subject.,x is greater than 5,https://en.wikipedia.org/wiki/Predicate_(mathematical_logic)
11 Basic Logic,basic logic,Property,Propriété,Propiedad,性质 (Xìngzhì),A characteristic or attribute of an object or concept.,Being even is a property of the number 2,https://en.wikipedia.org/wiki/Property_(mathematics)
11 Basic Logic,basic logic,Proposition,Proposition,Proposición,命题 (Mìngtí),A statement that is either true or false but not both.,The sky is blue,https://en.wikipedia.org/wiki/Proposition
11 Basic Logic,basic logic,Tautology,Tautologie,Tautología,恒真式 (Héng zhēn shì),A statement that is always true.,It will rain today or it won't rain today,https://en.wikipedia.org/wiki/Tautology_(logic)
11 Basic Logic,basic logic,Truth Table,Table de vérité,Tabla de verdad,真值表 (Zhēnzhí biǎo),A table that shows the truth value of a logical expression based on the truth values of its variables.,"A table showing all possible truth values for the statement ""p AND q""",https://en.wikipedia.org/wiki/Truth_table
Algebraic Simplification Rules,Basic Math Terminology,Base (of a number system),Base (d'un système numérique),Base (de un sistema numérico),基数 (Jīshù),"The foundation value of a number system, which dictates the number of digits and their value.","In the decimal system, the base is 10.",https://en.wikipedia.org/wiki/List_of_numeral_systems
Algebraic Simplification Rules,Basic Math Terminology,Coefficient,Coefficient,Coeficiente,系数 (Xìshù),The numerical factor of a term in a polynomial.,"In the term 4x, 4 is the coefficient.",https://en.wikipedia.org/wiki/Coefficient
Algebraic Simplification Rules,Basic Math Terminology,Complex Number,Nombre complexe,Número complejo,复数 (Fùshù),"A number in the form \( a + bi \), where \( a \) and \( b \) are real numbers, and \( i \) is the imaginary unit.",\( 3 + 4i \) is a complex number.,https://en.wikipedia.org/wiki/Complex_number
Algebraic Simplification Rules,Basic Math Terminology,Composite Number,Nombre composé,Número compuesto,合数 (Héshù),A natural number greater than 1 that is not a prime number.,4 is a composite number.,https://en.wikipedia.org/wiki/Composite_number
Algebraic Simplification Rules,Basic Math Terminology,Divisor,Diviseur,Divisor,除数 (Chúshù),A number by which another number is divided.,2 is a divisor of 4.,https://en.wikipedia.org/wiki/Divisor
Algebraic Simplification Rules,Basic Math Terminology,Division Algorithm,Algorithme de division,Algoritmo de división,除法算法 (Chúfǎ suànfǎ),An algorithm for dividing two numbers to obtain a quotient and remainder.,Dividing 10 by 3 gives a quotient of 3 and a remainder of 1.,https://en.wikipedia.org/wiki/Division_algorithm
Algebraic Simplification Rules,Basic Math Terminology,Euclidean Algorithm,Algorithme d'Euclide,Algoritmo de Euclides,欧几里得算法 (Ōu jǐ lǐ dé suànfǎ),An algorithm to determine the greatest common divisor of two integers.,The Euclidean Algorithm can find the GCD of 252 and 105.,https://en.wikipedia.org/wiki/Euclidean_algorithm
Algebraic Simplification Rules,Basic Math Terminology,Exponent / Power,Exposant,Exponente,指数 (Zhǐshù),The power to which a number is raised.,"In 2^3, 3 is the exponent / power.",https://en.wikipedia.org/wiki/Exponentiation
Algebraic Simplification Rules,Basic Math Terminology,Factor,Facteur,Factor,因子 (Yīnzǐ),A number that divides another without leaving a remainder.,3 is a factor of 9.,https://en.wikipedia.org/wiki/Factorization
Algebraic Simplification Rules,Basic Math Terminology,Greatest Common Divisor (GCD),Plus grand commun diviseur (PGCD),Máximo Común Divisor (MCD),最大公约数 (Zuìdà gōngyuēshù),The largest positive integer that divides two or more numbers without a remainder.,The GCD of 8 and 12 is 4.,https://en.wikipedia.org/wiki/Greatest_common_divisor
Algebraic Simplification Rules,Basic Math Terminology,Imaginary Unit,Unité imaginaire,Unidad imaginaria,虚数单位 (Xūshù dānwèi),"The square root of -1, denoted as \( i \).",\( i^2 = -1 \),https://en.wikipedia.org/wiki/Imaginary_unit
Algebraic Simplification Rules,Basic Math Terminology,Irrational Number,Nombre irrationnel,Número irracional,无理数 (Wúlǐshù),A number that cannot be expressed as a simple fraction.,\( \sqrt{2} \) is an irrational number.,https://en.wikipedia.org/wiki/Irrational_number
Algebraic Simplification Rules,Basic Math Terminology,k divides n,k divise n,k divide a n,k 除以 n (k chúyǐ n),The statement that a number \(k\) divides another number \(n\) without leaving a remainder.,2 divides 4.,https://en.wikipedia.org/wiki/Divisor
Algebraic Simplification Rules,Basic Math Terminology,Least Common Multiple (LCM),Plus petit commun multiple (PPCM),Mínimo Común Múltiplo (MCM),最小公倍数 (Zuìxiǎo gōngbèishù),The smallest positive integer that is a multiple of two or more numbers.,The LCM of 3 and 4 is 12.,https://en.wikipedia.org/wiki/Least_common_multiple
Algebraic Simplification Rules,Basic Math Terminology,n is divisible by k,n est divisible par k,n es divisible por k,n 可以被 k 整除 (n kěyǐ bèi k zhěngchú),The statement that a number \(n\) can be divided by another number \(k\) without leaving a remainder.,4 is divisible by 2.,https://en.wikipedia.org/wiki/Divisor
Algebraic Simplification Rules,Basic Math Terminology,Polynomial,Polynôme,Polinomio,多项式 (Duōxiàngshì),"An expression consisting of variables and coefficients, involving terms in the form \(ax^n\).",\(3x^2 + 4x + 1\) is a polynomial.,https://en.wikipedia.org/wiki/Polynomial
Algebraic Simplification Rules,Basic Math Terminology,Prime Number,Nombre premier,Número primo,质数 (Zhìshù),A natural number greater than 1 that has no positive divisors other than 1 and itself.,7 is a prime number.,https://en.wikipedia.org/wiki/Prime_number
Algebraic Simplification Rules,Basic Math Terminology,Product,Produit,Producto,积 (Jī),The result of multiplying two or more numbers.,The product of 2 and 3 is 6.,https://en.wikipedia.org/wiki/Product_(mathematics)
Algebraic Simplification Rules,Basic Math Terminology,Rational Number,Nombre rationnel,Número racional,有理数 (Yǒulǐshù),A number that can be expressed as the quotient or fraction \( \frac{a}{b} \) of two integers.,\( \frac{1}{2} \) is a rational number.,https://en.wikipedia.org/wiki/Rational_number
Algebraic Simplification Rules,Basic Math Terminology,Real Number,Nombre réel,Número real,实数 (Shíshù),A number that can be a rational or an irrational number.,\( \pi \) is a real number.,https://en.wikipedia.org/wiki/Real_number
Algebraic Simplification Rules,Basic Math Terminology,Sequence,Séquence,Secuencia,序列 (Xùliè),An ordered list of numbers.,"1, 2, 3, 4, ... is an arithmetic sequence.",https://en.wikipedia.org/wiki/Sequence
Algebraic Simplification Rules,Basic Math Terminology,Sum,Somme,Suma,和 (Hé),The result of adding two or more numbers.,The sum of 2 and 3 is 5.,https://en.wikipedia.org/wiki/Summation
Algebraic Simplification Rules,Basic Math Terminology,Term,Terme,Término,项 (Xiàng),"A single mathematical expression or component that can be a number, a variable, or a product of numbers and variables.","In the expression 2x + 3, 2x and 3 are terms.",https://en.wikipedia.org/wiki/Term_(logic)
06 Tricky Combinatorics,combinatorics,n choose k,n choisi k,n elige k,组合数 (Zǔhé shù),The number of ways to choose k items from n items without repetition and without order.,Choosing 2 students out of a class of 5: 5 choose 2,https://en.wikipedia.org/wiki/Combination
06 Tricky Combinatorics,combinatorics,n factorial,n factorielle,n factorial,n的阶乘 (n de jiēchéng),The product of all positive integers less than or equal to n.,4! = 4 x 3 x 2 x 1 = 24,https://en.wikipedia.org/wiki/Factorial
06 Tricky Combinatorics,combinatorics,Permutation,Permutation,Permutación,排列 (Páiliè),An arrangement of objects in a specific order.,"The permutations of ""ABC"" are ABC, ACB, BAC, BCA, CAB, CBA",https://en.wikipedia.org/wiki/Permutation
06 Tricky Combinatorics,combinatorics,Principle of Inclusion-Exclusion,Principe d'inclusion-exclusion,Principio de inclusión-exclusión,包容排斥原理 (Bāoróng páichì yuánlǐ),A formula used to count the size of the union of several sets.,"If you have two overlapping sets, the size of their union is the sum of their sizes minus the size of their intersection",https://en.wikipedia.org/wiki/Inclusion%E2%80%93exclusion_principle
06 Tricky Combinatorics,combinatorics,Recurrence Relation,Relation de récurrence,Relación de recurrencia,递推关系 (Dìtuī guānxì),An equation that recursively defines a sequence or multidimensional array of values.,The Fibonacci sequence is defined by the recurrence relation F(n) = F(n-1) + F(n-2),https://en.wikipedia.org/wiki/Recurrence_relation
06 Tricky Combinatorics,combinatorics,Surjective (Onto),Surjective (Sur),Sobreyectiva (Sobre),满射 (Mǎn shè),A function where every element of the codomain has a pre-image in the domain.,f(x) = x^3 is surjective from the set of real numbers to itself,https://en.wikipedia.org/wiki/Surjective_function
,Data Structures,Binary Tree,Arbre binaire,Árbol binario,二叉树 (Èr chā shù),"A tree data structure in which each node has at most two children, referred to as the left child and the right child.",A structure with a root node and two subtrees.,https://en.wikipedia.org/wiki/Binary_tree
09 Conditional Probability,discrete probability,Conditional Probability,Probabilité conditionnelle,Probabilidad condicional,条件概率 (Tiáojiàn gàilǜ),The probability of one event occurring given that another event has already occurred.,"Given that it's raining, the probability that there's traffic",https://en.wikipedia.org/wiki/Conditional_probability
07 Basic Probability,discrete probability,Event,Événement,Evento,事件 (Shìjiàn),A subset of possible outcomes in a probability space.,Drawing a heart from a deck of cards,https://en.wikipedia.org/wiki/Event_(probability_theory)
07 Basic Probability,discrete probability,Independent Events,Événements indépendants,Eventos independientes,独立事件 (Dúlì shìjiàn),Two events that do not influence each other's occurrence.,Drawing two aces in a row from a deck of cards without replacement,https://en.wikipedia.org/wiki/Independence_(probability_theory)
07 Basic Probability,discrete probability,Probability Space,Espace probabiliste,Espacio probabilístico,概率空间 (Gàilǜ kōngjiān),A mathematical model used to describe a random experiment.,"Tossing a coin: {Head, Tail}",https://en.wikipedia.org/wiki/Probability_space
03 Functions,functions,Bijection,Bijection,Biyectiva,双射 (Shuāng shè),A function that is both injective and surjective.,f(x) = x + 1 is a bijection from the set of real numbers to itself,https://en.wikipedia.org/wiki/Bijection
03 Functions,functions,Bijective,Bijective,Biyectiva,双射 (Shuāng shè),A function that is both injective and surjective.,f(x) = x + 1 is bijective from the set of real numbers to itself,https://en.wikipedia.org/wiki/Bijection
03 Functions,functions,Composition of Functions,Composition de fonctions,Composición de funciones,函数复合 (Hánshù fùhé),The application of one function to the results of another.,"If f(x) = x + 2 and g(x) = 3x, then the composition g(f(x)) = 3(x + 2)",https://en.wikipedia.org/wiki/Function_composition
03 Functions,functions,Function,Fonction,Función,函数 (Hánshù),A relation that maps each element of a set to exactly one element of another set.,f(x) = x + 2,https://en.wikipedia.org/wiki/Function_(mathematics)
03 Functions,functions,Injection,Injection,Inyectiva,单射 (Dān shè),A function where each element of the domain maps to a unique element in the codomain.,f(x) = x + 1 is an injection from the set of real numbers to itself,https://en.wikipedia.org/wiki/Injective_function
03 Functions,functions,Injective (One-to-One),Injective (Un-à-un),Inyectiva (Uno-a-uno),单射 (Dān shè),A function where each element of the domain is associated with a unique element of the codomain.,f(x) = 2x is injective because no two different inputs have the same output,https://en.wikipedia.org/wiki/Injective_function
03 Functions,functions,Inverse Mapping,Mappage inverse,Mapeo inverso,逆映射 (Nì yìngshè),A function that reverses the direction of a given function.,"If f(x) = x + 2, its inverse is f^(-1)(x) = x- 2",https://en.wikipedia.org/wiki/Inverse_function
03 Functions,functions,Mapping,Mappage,Mapeo,映射 (Yìngshè),A function that associates each element of a set with an element of another set.,Mapping each student in a class to their grade in an exam,https://en.wikipedia.org/wiki/Map_(mathematics)
03 Functions,functions,Relation,Relation,Relación,关系 (Guānxì),A set of ordered pairs.,"{(1, 2), (3, 4)}",https://en.wikipedia.org/wiki/Relation_(mathematics)
03 Functions,functions,Surjection,Surjection,Sobreyectiva,满射 (Mǎn shè),A function where every element of the codomain has a pre-image in the domain.,f(x) = x^2 is a surjection from the set of real numbers to the set of non-negative real numbers,https://en.wikipedia.org/wiki/Surjective_function
03 Functions,functions,Surjective (Onto),Surjective (Sur),Sobreyectiva (Sobre),满射 (Mǎn shè),A function where every element of the codomain has a pre-image in the domain.,f(x) = x^3 is surjective from the set of real numbers to itself,https://en.wikipedia.org/wiki/Surjective_function
20 - 21 Graph Theory,graph theory,Acyclic,Acyclique,Acíclico,无环 (Wú huán),A graph that has no cycles.,A tree is an acyclic graph,https://en.wikipedia.org/wiki/Directed_acyclic_graph
20 - 21 Graph Theory,graph theory,Adjacency,Adjacence,Adyacencia,邻接 (Línjiē),Two vertices that are connected by a single edge.,Vertices A and B are adjacent if there's an edge connecting them,https://en.wikipedia.org/wiki/Glossary_of_graph_theory#adjacent
20 - 21 Graph Theory,graph theory,Adjacency List,Liste d'adjacence,Lista de adyacencia,邻接表 (Línjiē biǎo),"A collection of unordered lists, one for each vertex in the graph, which lists, for each vertex, its neighbors.",A list showing that vertex A is connected to vertices B and C,https://en.wikipedia.org/wiki/Adjacency_list
20 - 21 Graph Theory,graph theory,Adjacency Matrix,Matrice d'adjacence,Matriz de adyacencia,邻接矩阵 (Línjiē jǔzhēn),A matrix used to represent a finite graph.,"A 2x2 matrix for a graph with 2 vertices, where the entry (i, j) is 1 if there's an edge from vertex i to vertex j, and 0 otherwise",https://en.wikipedia.org/wiki/Adjacency_matrix
20 - 21 Graph Theory,graph theory,Bellman-Ford Algorithm,Algorithme de Bellman-Ford,Algoritmo de Bellman-Ford,贝尔曼-福特算法 (Bèi'ěr màn - Fútè suànfǎ),An algorithm to find the shortest path in a weighted graph.,Finding the shortest path in a graph even if it has negative weight edges,https://en.wikipedia.org/wiki/Bellman%E2%80%93Ford_algorithm
20 - 21 Graph Theory,graph theory,Bipartite Graph,Graphe biparti,Grafo bipartito,二部图 (Èr bù tú),A graph where vertices can be divided into two disjoint sets and no two vertices within the same set are adjacent.,"Speople= {Magda, Tyrone, Yuan} and Stask = {setTable, mowLawn, makeDinner} and edges between the tasks that people are willing to do. (There are no edges between people or between tasks, as the edges indicate a relationship between people and tasks.)",https://en.wikipedia.org/wiki/Bipartite_graph
20 - 21 Graph Theory,graph theory,Breadth-First Search (BFS),Recherche en largeur d'abord (BFS),Búsqueda en anchura (BFS),广度优先搜索 (Guǎngdù yōuxiān sōusuǒ),"An algorithm for traversing or searching tree or graph data structures, starting at the root and exploring the neighbor nodes at the present depth prior to moving on to nodes at the next depth level.",Exploring a graph level by level starting from a source vertex,https://en.wikipedia.org/wiki/Breadth-first_search
20 - 21 Graph Theory,graph theory,Chromatic Number,Nombre chromatique,Número cromático,色数 (Sè shù),The smallest number of colors needed to color the vertices of a graph so that no two adjacent vertices share the same color.,The minimum number of colors needed to color a graph with no two adjacent vertices having the same color is 2,https://en.wikipedia.org/wiki/Graph_coloring#Chromatic_number
20 - 21 Graph Theory,graph theory,Clique,Clique,Clique,团 (Tuán),A subset of vertices of an undirected graph such that every two distinct vertices in the clique are adjacent.,A subset of a graph where every two vertices are connected,https://en.wikipedia.org/wiki/Clique_(graph_theory)
20 - 21 Graph Theory,graph theory,Complement Graph,Graphe complémentaire,Grafo complementario,补图 (Bǔ tú),A graph formed by switching the adjacency and non-adjacency of the original graph's vertices.,A graph formed by reversing the presence or absence of each edge from the original graph,https://en.wikipedia.org/wiki/Complement_graph
20 - 21 Graph Theory,graph theory,Complete Graph,Graphe complet,Grafo completo,完全图 (Wánquán tú),A graph in which there is a unique edge connecting every pair of distinct vertices.,A graph with 3 vertices where every vertex is connected to every other vertex,https://en.wikipedia.org/wiki/Complete_graph
20 - 21 Graph Theory,graph theory,Connected Component,Composante connexe,Componente conexa,连通分量 (Liántōng fēnliàng),"A subgraph in which any two vertices are connected to each other by paths, and which is connected to no additional vertices in the supergraph.",All the vertices that can be reached from a given vertex,https://en.wikipedia.org/wiki/Component_(graph_theory)
20 - 21 Graph Theory,graph theory,Connected Graph,Graphe connexe,Grafo conexo,连通图 (Liántōng tú),A graph where there is a path between every pair of vertices.,A graph where there's a path between every pair of vertices,https://en.wikipedia.org/wiki/Connectivity_(graph_theory)#Connected_vertices_and_graphs
20 - 21 Graph Theory,graph theory,Vertex Cover,Couverture,Cubrimiento,覆盖 (Fùgài),A set of vertices such that each edge of the graph is incident to at least one vertex of the set.,A set of vertices in a graph that touches every edge,https://en.wikipedia.org/wiki/Vertex_cover
20 - 21 Graph Theory,graph theory,Cut,Coupe,Corte,割 (Gē),A partition of the vertices of a graph into two disjoint subsets.,Dividing a graph into two disjoint subgraphs,https://en.wikipedia.org/wiki/Cut_(graph_theory)
20 - 21 Graph Theory,graph theory,Cycle,Cycle,Ciclo,循环 (Xúnhuán),A path in a graph that starts and ends at the same vertex.,A path in a graph that starts and ends at the same vertex without revisiting any vertex,https://en.wikipedia.org/wiki/Cycle_(graph_theory)
20 - 21 Graph Theory,graph theory,Degree,Degré,Grado,度 (Dù),The number of edges incident to a vertex.,"In a graph, the vertex with 3 edges connected to it has a degree of 3",https://en.wikipedia.org/wiki/Degree_(graph_theory)
20 - 21 Graph Theory,graph theory,Degree Sequence,Séquence de degrés,Secuencia de grados,度序列 (Dù xùliè),A list of the degrees of the vertices in a graph.,"For a graph with vertices of degrees 2, 2, and 1, the degree sequence is (2, 2, 1)",https://en.wikipedia.org/wiki/Degree_(graph_theory)#Degree_sequence
20 - 21 Graph Theory,graph theory,Depth-First Search (DFS),Recherche en profondeur d'abord (DFS),Búsqueda en profundidad (DFS),深度优先搜索 (Shēndù yōuxiān sōusuǒ),An algorithm for traversing or searching tree or graph data structures by exploring as far as possible along each branch before backtracking.,Exploring a graph by going as deep as possible before backtracking,https://en.wikipedia.org/wiki/Depth-first_search
20 - 21 Graph Theory,graph theory,Dijkstra's Algorithm,Algorithme de Dijkstra,Algoritmo de Dijkstra,迪杰斯特拉算法 (Dí jié sī tè lā suànfǎ),An algorithm to find the shortest path between nodes in a graph.,Finding the shortest path from a source vertex to all other vertices in a weighted graph,https://en.wikipedia.org/wiki/Dijkstra%27s_algorithm
20 - 21 Graph Theory,graph theory,Directed Acyclic Graph (DAG),Graphe acyclique dirigé,Grafo acíclico dirigido,有向无环图 (Yǒuxiàng wú huán tú),A directed graph with no cycles.,"A directed graph with no cycles, like a tree",https://en.wikipedia.org/wiki/Directed_acyclic_graph
20 - 21 Graph Theory,graph theory,Directed Graph (Digraph),Graphe orienté,Grafo dirigido,有向图 (Yǒuxiàng tú),A graph where each edge has a direction.,A graph where each edge has a starting and ending vertex,https://en.wikipedia.org/wiki/Directed_graph
20 - 21 Graph Theory,graph theory,Edge,Arête,Arista,边 (Biān),A line connecting two vertices in a graph.,A line connecting two vertices in a graph,https://en.wikipedia.org/wiki/Glossary_of_graph_theory#edge
20 - 21 Graph Theory,graph theory,Eulerian Circuit,Circuit eulérien,Circuito euleriano,欧拉回路 (Ōulā huílù),A cycle in a graph that visits every edge exactly once.,A circuit that visits every edge of a graph exactly once,https://en.wikipedia.org/wiki/Eulerian_path
20 - 21 Graph Theory,graph theory,Eulerian Path,Chemin eulérien,Camino euleriano,欧拉路径 (Ōulā lùjìng),A path in a graph that visits every edge exactly once.,A path in a graph that visits every edge exactly once,https://en.wikipedia.org/wiki/Eulerian_path
20 - 21 Graph Theory,graph theory,Finite number of edges,Nombre fini d'arêtes,Número finito de aristas,有限数量的边 (Yǒuxiàn shùliàng de biān),A graph that has a countable number of edges.,A graph with exactly 5 edges,https://en.wikipedia.org/wiki/Glossary_of_graph_theory#edge
20 - 21 Graph Theory,graph theory,Flow Network,Réseau de flux,Red de flujo,流网络 (Liú wǎngluò),A directed graph where each edge has a capacity and each edge receives a flow.,A directed graph representing the flow of goods from source to sink,https://en.wikipedia.org/wiki/Flow_network
20 - 21 Graph Theory,graph theory,Forest,Forêt,Bosque,森林 (Sēnlín),A disjoint set of trees.,A collection of disjoint trees,https://en.wikipedia.org/wiki/Tree_(graph_theory)
20 - 21 Graph Theory,graph theory,Graph,Graphe,Grafo,图 (Tú),A collection of vertices and edges.,A collection of points (vertices) and lines (edges) connecting some of the points,https://en.wikipedia.org/wiki/Graph_theory
20 - 21 Graph Theory,graph theory,Graph Coloring,Coloration de graphe,Coloreado de grafos,图着色 (Tú zhāosè),An assignment of colors to the vertices of a graph such that no two adjacent vertices have the same color.,Assigning colors to a graph such that no two adjacent vertices have the same color,https://en.wikipedia.org/wiki/Graph_coloring#Chromatic_number
20 - 21 Graph Theory,graph theory,Graph Isomorphism,Isomorphisme de graphes,Isomorfismo de grafos,图同构 (Tú tónggòu),A bijective correspondence between the vertex sets of two graphs that preserves adjacency.,Two graphs that have the same structure but may have different vertex or edge labels,https://en.wikipedia.org/wiki/Graph_isomorphism
20 - 21 Graph Theory,graph theory,Hamiltonian Cycle,Cycle hamiltonien,Ciclo hamiltoniano,哈密尔顿回路 (Hā mǐ'ěr dùn huílù),A cycle that visits every vertex of a graph exactly once.,A cycle in a graph that visits every vertex exactly once and returns to the starting vertex,https://en.wikipedia.org/wiki/Hamiltonian_path
20 - 21 Graph Theory,graph theory,Hamiltonian Path,Chemin hamiltonien,Camino hamiltoniano,哈密尔顿路径 (Hā mǐ'ěr dùn lùjìng),A path in a graph that visits each vertex exactly once.,A path that visits every vertex of a graph exactly once,https://en.wikipedia.org/wiki/Hamiltonian_path
20 - 21 Graph Theory,graph theory,Incidence Matrix,Matrice d'incidence,Matriz de incidencia,关联矩阵 (Guānlián jǔzhèn),A matrix that shows the relationship between vertices and edges in a graph.,A matrix showing the relationship between vertices and edges in a graph,https://en.wikipedia.org/wiki/Incidence_matrix
20 - 21 Graph Theory,graph theory,Isomorphic Graphs,Graphes isomorphes,Grafos isomorfos,同构图 (Tónggòu tú),Two graphs that have a one-to-one correspondence between their vertices and edges.,Two graphs that look different but have the same structure,https://en.wikipedia.org/wiki/Graph_isomorphism
20 - 21 Graph Theory,graph theory,Kruskal's Algorithm,Algorithme de Kruskal,Algoritmo de Kruskal,克鲁斯卡尔算法 (Kè lǔ sī kǎ'ěr suànfǎ),An algorithm to find the minimum spanning tree of a graph.,An algorithm to find the minimum spanning tree of a graph,https://en.wikipedia.org/wiki/Kruskal%27s_algorithm
20 - 21 Graph Theory,graph theory,Matching,Appariement,Emparejamiento,匹配 (Pǐpèi),A set of edges without common vertices.,A set of edges in a graph where no vertex is repeated,https://en.wikipedia.org/wiki/Matching_(graph_theory)
20 - 21 Graph Theory,graph theory,Minimum Spanning Tree,Arbre couvrant minimal,Árbol generador mínimo,最小生成树 (Zuìxiǎo shēngchéng shù),A spanning tree with weight less than or equal to the weight of every other spanning tree.,A spanning tree with the least total edge weight,https://en.wikipedia.org/wiki/Minimum_spanning_tree
20 - 21 Graph Theory,graph theory,Multigraph,Multigraphe,Multigrafo,多重图 (Duōzhòng tú),"A graph which is permitted to have multiple edges, also called parallel edges, between any two vertices.",A graph that can have multiple edges between the same vertices,https://en.wikipedia.org/wiki/Multigraph
